Symbol	Close	High	Low	Avg3RSI2	Sma200	Sma5	Lbbrange	Lbbslope	Lbbnegslopedur	RSI1	RSI2	RSI3	Lowrsidays	LastUpdated	CD1	CD2	CD3	CD4	CD5	Avggain	Avgloss	Avgvolume	Last4
SUJANAUNI	2.1	2.1	2	56.75761897	-2.5	0	68.25741858	-2.473961738	0	68.06095516	26.19578067	76.01612109	7	1/14/2015	-2.43902439	2.380952381	0	-2.43902439	-2.5	0.02999620641	0.01407635522	115260.5789	2.1/2.05/2.1/2.1/2.05
KCP	74.6	75.5	72.25	56.83750064	33.68096515	0	62.40403806	-3.942200277	0	76.35208798	55.82870728	38.33170665	3	1/14/2015	-1.773533424	-1.173222912	1.495581237	3.032300593	-8.667621777	1.06813337	0.3308242724	157733.1579	74.6/73.3/72.45/73.55/75.85
IGL	446.4	462.5	442.8	56.86082341	16.19864471	-1.451612903	14.91356535	-3.408201712	0	26.56529606	82.20315813	61.81401604	4	1/14/2015	2.755691101	-1.425099426	-0.2214348981	0.6926882903	-5.278388702	2.482522878	6.862461919	520914.8947	446.4/459.05/452.6/451.6/454.75
CONCOR	1367.85	1399.9	1361	57.04800371	10.03825346	0	78.08971454	0.09764283151	1	78.42889955	54.78095934	37.93415223	4	1/14/2015	-0.7661423994	-0.3808326555	0.9848068827	-1.328040954	0.5606993987	7.798435612	2.144883314	54140.26316	1367.85/1357.45/1352.3/1365.75/1347.85
SHRIRAMEPC	34.1	35.5	33.8	57.06546424	-1.728005865	-0.293255132	45.9175171	-2.089721407	0	41.77874879	39.02134007	90.39630386	6	1/14/2015	-0.1468428781	3.404255319	-3.82916053	-0.8915304606	-2.124430956	0.2309788263	0.3218831741	48832.78947	34.1/34.05/35.25/33.95/33.65
MUNJALSHOW	205.25	212.4	203	57.16856187	23.88745432	-1.47137637	20.01098033	-2.371132335	0	22.92235036	71.5676515	77.01568376	4	1/14/2015	2.494061758	0.165994783	-2.279893282	1.174496644	-4.195804196	0.885246715	2.97669022	51492.15789	205.25/210.5/210.85/206.15/208.6
EKC	11.75	11.85	11.55	57.23394918	-36.73829787	0	70.41241452	-0.03631331507	0	63.33296276	37.83403145	70.53485333	6	1/14/2015	-1.293103448	1.694915254	-2.608695652	0.8620689655	0	0.1158035289	0.06704521816	154934.3684	11.75/11.6/11.8/11.5/11.6
VKSPL	0.2	0.25	0.2	57.46399775	-96	-15	22.61387212	0	0	11.41822725	80.486883	80.486883	6	1/14/2015	20	0	0	-25	0	0.003326463759	0.02580646279	660727.2632	0.2/0.25/0.25/0.25/0.2
AXISBANK	499.6	505.75	494.2	57.47336836	-101.5052042	-0.1821457166	43.61726395	-0.07299654042	0	35.93059093	74.33215998	62.15735416	9	1/14/2015	0.971258672	-0.5881766524	-1.333468027	1.394561211	-0.6617868244	1.703955417	3.038397472	3455976.947	499.6/504.5/501.55/494.95/501.95
CANBK	444.95	447.6	434.6	57.58290947	13.75761321	0	59.85143685	-0.1894379169	0	55.10953208	36.71919318	80.92000316	5	1/12/2015	-0.9529211571	2.478150238	-3.373741995	0.1712524261	2.764209591	3.982247914	3.243812195	2156909.8	444.95/440.75/451.95/437.2/437.95
